galaxy_x,V_flat_kms,M_total_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total,disk_vs_gas_ratio,galaxy_key,galaxy_y,gamma_quad,rmse_quad,gamma_lin,rmse_lin,n_points
NGC4157_rotmod,143.6010859755771,121919759631.32204,12729199613.044489,107172789805.69476,2017770212.582751,0.0165499851597835,8.419444510546242,NGC4157_rotmod,NGC4157_rotmod,1.0,2.8607532499615334e-11,-0.7161217174798746,26.548419245128244,17
F563-V2_rotmod,53.52026507704532,7286108208.43779,3811575797.193492,3474532411.244297,0.0,0.0,0.9115737417061563,F563-V2_rotmod,F563-V2_rotmod,1.0,2.8675410968259345e-10,1.0,15.376000662120127,10
UGC11820_rotmod,38.047077180653964,5667026149.624595,4601531264.979817,1065494884.644777,0.0,0.0,0.2315522427835661,UGC11820_rotmod,UGC11820_rotmod,1.0,2.700222777764735e-10,1.0,10.078894892004396,10
UGC03205_rotmod,136.44637246749176,134443750786.65337,17021398533.56672,100032761065.32462,17389591187.762012,0.1293447340319839,5.876882611499693,UGC03205_rotmod,UGC03205_rotmod,0.9999999999996879,1.7001076046481712e-11,0.3427932108682728,37.43477163908756,48
NGC4214_rotmod,35.837245557011535,1449855391.3828804,253637021.04942703,1196218370.3334525,0.0,0.0,4.716260920365966,NGC4214_rotmod,NGC4214_rotmod,1.0,1.1948638783514368e-10,1.0,11.75227337766073,14
NGC4138_rotmod,129.6056632292565,47676775718.87312,2361350753.519375,36826221344.37969,8489203620.974055,0.1780574187950708,15.59540499838646,NGC4138_rotmod,NGC4138_rotmod,1.0,3.613103353669638e-11,0.020816428293614315,11.448223721877618,7
UGC06917_rotmod,69.11039152325041,12126409217.475183,3307372582.2650294,8819036635.21015,0.0,0.0,2.666478122997107,UGC06917_rotmod,UGC06917_rotmod,1.0,7.666253523150361e-11,1.0,17.703623867543296,11
UGC06983_rotmod,59.461107905683534,11689357667.21952,5859275910.831414,5830081756.388104,0.0,0.0,0.9950174467139632,UGC06983_rotmod,UGC06983_rotmod,1.0,8.257224814701941e-11,1.0,19.7735234445281,17
UGC12732_rotmod,45.3866007601338,8600534666.958218,6744130389.427979,1856404277.5302367,0.0,0.0,0.2752622162288432,UGC12732_rotmod,UGC12732_rotmod,1.0,1.381261767969968e-10,1.0,13.718431288043769,16
NGC3726_rotmod,125.29597664010277,86406534052.06908,11506101900.9721,74900432151.09695,0.0,0.0,6.50962704795522,NGC3726_rotmod,NGC3726_rotmod,1.0,3.506441483796582e-11,1.0,30.003599682359315,12
CamB_rotmod,17.162217231446345,112391369.12195069,19871694.60272274,92519674.51922797,0.0,0.0,4.655852274750201,CamB_rotmod,CamB_rotmod,1.0,5.097471721129174e-10,1.0,5.157487883712411,9
NGC4068_rotmod,25.216244389421423,490606519.630223,213668345.78553808,276938173.8446849,0.0,0.0,1.2961123128769465,NGC4068_rotmod,NGC4068_rotmod,1.0,3.534578208666136e-10,1.0,8.475646265870614,6
UGC02455_rotmod,75.79969352275943,4819099957.754252,829844420.3748413,3989255537.3794127,0.0,0.0,4.80723306614204,UGC02455_rotmod,UGC02455_rotmod,1.0,7.625381303641552e-11,1.0,16.04036841217451,8
NGC3877_rotmod,199.17471978498028,97433019710.98302,2419543204.993716,95013476505.98932,0.0,0.0,39.269179533512855,NGC3877_rotmod,NGC3877_rotmod,1.0,3.29443979213578e-11,1.0,19.934115741568093,13
UGC00634_rotmod,49.40290192606261,8857385933.269672,5508515836.949517,3348870096.320154,0.0,0.0,0.6079441714330583,UGC00634_rotmod,UGC00634_rotmod,1.0,1.0164579229601976e-10,1.0,19.24692312730736,4
UGC07323_rotmod,63.954092282454894,6129802958.992349,1116137331.3147838,5013665627.677564,0.0,0.0,4.491979156159558,UGC07323_rotmod,UGC07323_rotmod,1.0,1.165292997051971e-10,1.0,13.620318661589444,10
UGC09133_rotmod,125.27607302920931,352836740533.09326,66478702434.91395,205656717053.59164,80701321044.58763,0.228721422045385,3.093572971809131,UGC09133_rotmod,UGC09133_rotmod,0.9999999999999051,1.9879745776019794e-11,0.4269245857166363,52.662042898599864,68
UGC10310_rotmod,45.534795046466215,3979753171.590168,1718239497.0708995,2261513674.519268,0.0,0.0,1.316180706109069,UGC10310_rotmod,UGC10310_rotmod,1.0,1.3834146425212496e-10,1.0,14.472796058540938,7
NGC6015_rotmod,83.24655286648132,43134618955.60116,9948200396.766268,33186418558.834896,0.0,0.0,3.335921798441291,NGC6015_rotmod,NGC6015_rotmod,1.0,5.103810611367743e-11,1.0,26.158568749454204,44
NGC2976_rotmod,82.73156881672473,3333880329.395113,470262454.73151386,2863617874.6635995,0.0,0.0,6.089403578473046,NGC2976_rotmod,NGC2976_rotmod,1.0,1.5293381070314162e-10,1.0,14.197556954052617,27
UGC04499_rotmod,45.4441657717254,4068021194.918449,1979282606.349789,2088738588.5686595,0.0,0.0,1.055300835700633,UGC04499_rotmod,UGC04499_rotmod,1.0,1.2282360057100992e-10,1.0,15.517094327577308,9
NGC4085_rotmod,148.66943785313364,28816501012.4976,900943352.4688336,27915557660.028755,0.0,0.0,30.98480896,NGC4085_rotmod,NGC4085_rotmod,1.0,3.769018583816966e-11,1.0,17.210788161060027,7
