galaxy,V_flat_kms,M_total_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total,disk_vs_gas_ratio
UGC11455_rotmod,226.73368635553007,435066478533.2895,23492904052.533947,411573574480.7555,0.0,0.0,17.51905909803276
NGC0247_rotmod,62.47511919780446,12116155497.945189,3603765772.20072,8512389725.744468,0.0,0.0,2.3620818509928263
UGC04325_rotmod,54.447131258301305,3799083096.489228,1111960415.4093125,2687122681.0799155,0.0,0.0,2.416563255168383
UGC09992_rotmod,26.166308937547505,718303523.1775004,278566970.6152417,439736552.5622586,0.0,0.0,1.5785667324128863
NGC0801_rotmod,196.55941561890077,410358127950.4721,62229251744.746414,348128876205.72577,0.0,0.0,5.594296354931118
UGC07577_rotmod,14.596121680917923,88043787.47915974,32681513.416964263,55362274.06219549,0.0,0.0,1.6939935845644816
F579-V1_rotmod,75.57101644097511,18091650098.72058,3847734142.148225,14243915956.572351,0.0,0.0,3.7018971244774836
F561-1_rotmod,48.479316976563126,7412718984.675573,1922877193.1039305,5489841791.571644,0.0,0.0,2.8550142522153887
NGC1090_rotmod,122.59225145493602,98059795600.57307,19304687143.312035,78755108457.26102,0.0,0.0,4.079584811326256
NGC5907_rotmod,148.05471556378242,232776196194.17163,45461835121.94701,187314361072.22464,0.0,0.0,4.120255167213815
ESO444-G084_rotmod,21.150181591882767,290659785.92687553,215548220.9370836,75111564.98979202,0.0,0.0,0.3484675710300404
UGC06399_rotmod,48.64125482088737,4231988631.2201433,1220541291.0060475,3011447340.214096,0.0,0.0,2.4673047625712607
UGC06628_rotmod,50.351782114276396,5667687013.545022,1761711338.8536282,3905975674.6913934,0.0,0.0,2.217148512668977
NGC3949_rotmod,181.688138478521,43176266543.568665,3561923294.957237,39614343248.61143,0.0,0.0,11.121616039484934
UGC02916_rotmod,155.76067661247302,179815720261.60648,44074539916.81599,63938470131.60178,71802710213.18874,0.39931275257094284,1.4506894513765987
UGC02953_rotmod,144.04181980802232,277212167758.4389,13511694665.600948,233484816534.4378,30215656558.4001,0.10899830553155895,17.280202247972667
IC4202_rotmod,201.89247175843406,227154066975.972,21794213330.57811,167901453545.51257,37458400099.88136,0.1649030572005724,7.703946501704673
UGC11557_rotmod,92.83514461077235,18092566122.12101,2730746420.749364,15361819701.371649,0.0,0.0,5.625502091532945
NGC0300_rotmod,43.47556969443745,4694059403.251523,1296662243.6327555,3397397159.6187696,0.0,0.0,2.620109574641853
