galaxy,Npoints,data_quality_flag,has_bulge,bulge_size_kpc,gas_negative_flag,R_max_kpc,Mtot_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total_at_Rmax,disk_vs_gas_ratio,Phi_N_Rmax,shear_mean,v_flat_kms
IC2574_rotmod,34,ok,False,0.0,False,10.23,3122410433.028059,1755822819.137191,1366587613.8908672,0.0,0.0,2.060347357959162,1.460653391555498e-08,0.7281213294816358,65.35999999999999
IC4202_rotmod,32,ok,True,0.77,False,25.9,227154066975.972,21794213330.57811,167901453545.51257,37458400099.881355,0.16490305720057236,24.240719465708793,4.1971410894140874e-07,0.40735188714534126,241.8
KK98-251_rotmod,15,ok,False,0.0,False,3.13,333380702.0041401,220580774.95072386,112799927.05341618,0.0,0.0,0.5444523113640767,5.0971678476875684e-09,0.8740594408675832,33.0
NGC0024_rotmod,29,ok,False,0.0,False,11.27,5306282362.309149,1103327409.5023732,4202954952.8067765,0.0,0.0,16.191332481023213,2.253197475697663e-08,0.38300879021968703,107.2
NGC0055_rotmod,21,ok,False,0.0,False,13.5,10777382763.045452,3545655786.2220693,7231726976.823381,0.0,0.0,1.4051769057345707,3.820430948532505e-08,0.45628691412422967,86.32000000000001
NGC0100_rotmod,21,review,False,0.0,True,9.62,4646606367.194719,1046438932.9835668,3600167434.2111526,0.0,0.0,10.638844627712656,2.3114985583947833e-08,0.6266342772615305,88.84
NGC0247_rotmod,26,ok,False,0.0,False,14.54,12116155497.945189,3603765772.20072,8512389725.744468,0.0,0.0,3.763379068158442,3.9877988853842455e-08,0.39021280087110194,106.2
NGC0289_rotmod,28,ok,False,0.0,False,71.12,119642551449.43477,46869856078.54615,72772695370.88861,0.0,0.0,7.60464048620458,8.050571914555575e-08,-0.01383209037833317,163.0
NGC0300_rotmod,25,ok,False,0.0,False,11.8,4694059403.251523,1296662243.6327555,3397397159.6187696,0.0,0.0,5.221639914927006,1.903703856710706e-08,0.35036327493171004,93.96000000000001
NGC0801_rotmod,13,ok,False,0.0,False,59.82,410358127950.4721,62229251744.746414,348128876205.72577,0.0,0.0,27.882911994387854,3.2828379627773853e-07,0.07843449439534356,217.4
NGC0891_rotmod,18,review,True,0.92,True,17.11,159576009962.2855,8069981731.991204,132582755881.19267,18923272349.101585,0.11858469423802455,62.415784291569,4.4632417202178345e-07,-0.0031829753000264813,213.8
NGC1003_rotmod,36,ok,False,0.0,False,30.24,16762038084.218277,9860778631.970226,6901259452.248049,0.0,0.0,3.4514967910041765,2.6526371768458288e-08,0.21554805596297663,113.4
NGC1090_rotmod,24,review,False,0.0,True,30.09,98059795600.57307,19304687143.312035,78755108457.26102,0.0,0.0,16.03099880904364,1.5595582903566762e-07,0.36034563047773155,161.8
NGC1705_rotmod,14,ok,False,0.0,False,6.0,812857411.7683493,285664515.15792483,527192896.6104244,0.0,0.0,4.553902504547234,6.483297273668662e-09,0.08677716565369048,71.52000000000001
NGC2366_rotmod,26,review,False,0.0,True,6.06,1217551065.366738,965689895.0381209,251861170.32861736,0.0,0.0,0.7587854176425873,9.61495767083695e-09,0.6263598666172001,49.46
NGC2403_rotmod,73,ok,False,0.0,False,20.87,17967401046.551895,7713308448.592485,10254092597.959412,0.0,0.0,7.853361214230546,4.1199849387285784e-08,0.2532647142720292,134.4
NGC2683_rotmod,11,ok,True,2.89,False,34.62,83877992255.77765,1976472767.4722607,76502034102.10303,5399485386.20237,0.06437308811275755,60.56163504308471,1.1594546820465645e-07,-0.12886449661532273,157.0
NGC2841_rotmod,50,review,True,3.44,True,63.64,260382393453.5531,69895406848.24136,144317205865.96893,46169780739.342735,0.17731529435218316,15.577184116558971,1.9580070876179212e-07,-0.04460080394072437,288.2
